화랑도	hwarangdo
해심	haesim
쨄	tchael
쇡	soek
언제쯤	ŏnjetchŭm
뫞	mwap
슈퍼	syup'ŏ
내전	naejŏn
옛사람들	yetsaramdŭl
원순	wŏnsun
마련	maryŏn
갑자	kapcha
굝	kyol
귀환	kwihwan
어디서	ŏdisŏ
소식	sosik
회양	hoeyang
배워야	paewŏya
참고	ch'amgo
언	ŏn
세인트	seint'ŭ
종료	chongnyo
아티스트	at'isŭt'ŭ
죽이면	chugimyŏn
퐴	p'waem
슬픔	sŭlp'ŭm
갑석	kapsŏk
101선	101-sŏn
펒	p'ŏt
앟	a
쿛	k'yot
한문학회	hanmunhakhoe
천수	ch'ŏnsu
뒺	twit
의한	ŭihan
떱	ttŏp
의병장	ŭibyŏngjang
직위제	chigwije
강사	kangsa
색채	saekch'ae
총력	ch'ongnyŏk
콤	k'om
조사.	chosa.
턟	t'yaep
아닐까요	anilkkayo
집권	chipkwŏn
유종	yujong
현환	hyŏnhwan
늧	nŭt
와!	wa!
연철	yŏnch'ŏl
명단	myŏngdan
미래.	mirae
가로	karo
금주단	kŭmjudan
서화	sŏhwa
외침!	oech'im!
죄	choe
럆	yap
25회	25-hoe
명호	myŏngho
촛불	ch'otpul
혞	hyek
일만년	ilmannyŏn
수찬	such'an
순권	sungwŏn
창덕궁	ch'angdŏkkung
한국어-인도네시아어	han'gugŏ-indonesia-ŏ
귽	kŭn
권구	kwŏngu
피민	p'imin
성육신	sŏngyuksin
줡	chwŏk
공산주의자들	kongsanjuŭijadŭl
흥광	hŭnggwang
교체	kyoch'e
명운	myŏngun
27개	27-kae
귀훈	kwihun
그루브	kŭrubŭ
복사꽃	poksakkot
서비스업	sŏbisŭŏp
상근	sanggŭn
두꺼비	tukkŏbi
필요성	p'iryosŏng
일가족	ilgajok
뚤	ttul
환멸	hwanmyŏl
만권	mangwŏn
쾡	k'waeng
오산	osan
두온	tuon
음모	ŭmmo
유래	yurae
귣	kyut
헌승	hyŏnsŭng
파헤친다	p'ahech'inda
아리랑'	arirang'
정당한	chŏngdanghan
갈매기	kalmaegi
오하타	ohat'a
법리	pŏmni
불과하다	pŭlgwahada
스즈키	sŭjŭk'i
첑	ch'yaeng
익희	ikhŭi
봉림	pongnim
투자론	t'ujaron
횙	hoel
삼척	samch'ŏk
산행	sanhaeng
츫	ch'ŭp
꺱	kkyaep
현대전	hyŏndaejŏn
광복절	kwangbokchŏl
체계화	ch'egyehwa
냛	yap
보연	poyŏn
전문학	chonmunhak
풍문	p'ungmun
제3	che3
연회도	yŏnhoedo
뒤안길	twiankil
확률론	hwangnyullon
봊	pot
형태	hyŏngt'ae
붓	put
위관	wigwan
듣다	tŭtta
통곡	t'onggok
마주친	majuch'in
다니는	taninŭn
신라인들	sillaindŭl
상경	sanggyŏng
징비록	chingbirok
경쟁	kyŏngjaeng
문학상	munhaksang
국악당	kugaktang
셺	sem
시마	sima
승리산	sŭngnisan
상보	sangbo
지나면	chinamyŏn
408일	408-il
금현	kŭmhyŏn
명랑	myŏngnang
휘날립니다	hwinallimnida
전략가	chŏllyakka
칠인	ch'irin
언약	ŏnyak
법칙적인	pŏpch'ikchŏgin
쀧	ppwit
샨	san
정룡	chŏngnyong
청평사	ch'ŏngp'yŏngsa
가미시스카	kamisisŭk'a
석화	sŏkhwa
붙	put
시사	sisa
쎻	ssyŏ
문체	munch'e
